,cc,level,category,test,data
293,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '185.39.208.18'}
294,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2a01:3f1:3032:8001::135'}
295,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2a04:6d80::18'}
296,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:500:14:6105:ad::1'}
297,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '194.58.198.135'}
298,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2a01:3f1:3032:8001::135'}
299,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:500:14:6105:ad::1'}
300,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '204.61.216.105'}
301,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '185.39.208.18'}
302,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2a04:6d80::18'}
303,CV,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '41.221.192.220'}
304,CV,WARNING,Delegation,UNEXPECTED_RCODE,"{'ns': 'ns.dns.cv/41.221.192.220', 'rcode': 'SERVFAIL', 'rrtype': 'A'}"
305,CV,NOTICE,DNSSEC,NEITHER_DNSKEY_NOR_DS,"{'child': '194.58.198.135', 'parent': '198.41.0.4'}"
306,CV,NOTICE,DNSSEC,NOT_SIGNED,{'zone': 'cv'}
307,CV,ERROR,Nameserver,BREAKS_ON_EDNS,"{'domain': 'cv', 'ns': 'ns.dns.cv/41.221.192.220'}"
308,CV,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'cv01.dns.pt/185.39.208.18', 'query_name': 'version.bind', 'string': 'Curiosity.Killed.The.Dog'}"
309,CV,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'c.dns.pt/204.61.216.105', 'query_name': 'version.bind', 'string': 'host'}"
310,CV,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'ns.dns.cv/41.221.192.220', 'query_name': 'version.bind'}"
311,CV,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'ns.dns.cv/41.221.192.220', 'query_name': 'version.server'}"
312,CV,WARNING,Zone,Z09_NO_RESPONSE_MX_QUERY,{'ns_ip_list': '41.221.192.220'}
313,CV,NOTICE,Zone,Z11_NO_SPF_FOUND,{}
314,DJ,WARNING,Address,NAMESERVER_IP_WITHOUT_REVERSE,"{'ns_ip': '197.241.17.130', 'nsname': 'bow1.intnet.dj'}"
315,DJ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '196.201.196.41'}
316,DJ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '197.241.17.130'}
317,DJ,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '37.59.106.21'}
318,DJ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '197.241.17.130'}
319,DJ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '196.201.196.41'}
320,DJ,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '37.59.106.21'}
321,DJ,NOTICE,Consistency,MULTIPLE_SOA_MNAMES,{'count': 3}
322,DJ,NOTICE,Delegation,NO_IPV6_NS_CHILD,"{'count': 0, 'minimum': 2, 'ns_list': ''}"
323,DJ,NOTICE,Delegation,NO_IPV6_NS_DEL,"{'count': 0, 'minimum': 2, 'ns_list': ''}"
324,DJ,NOTICE,DNSSEC,NEITHER_DNSKEY_NOR_DS,"{'child': '197.241.17.130', 'parent': '198.41.0.4'}"
325,DJ,NOTICE,DNSSEC,NOT_SIGNED,{'zone': 'dj'}
326,DJ,WARNING,Nameserver,CASE_QUERY_NO_ANSWER,"{'domain': 'Www.Dj', 'ns': 'vps443605.ovh.net/37.59.106.21', 'type': 'SOA'}"
327,DJ,ERROR,Nameserver,CASE_QUERIES_RESULTS_DIFFER,"{'domain': 'www.dj', 'type': 'SOA'}"
328,DJ,WARNING,Nameserver,N10_NO_RESPONSE_EDNS1_QUERY,{'ns_ip_list': '37.59.106.21'}
329,DJ,WARNING,Nameserver,N11_NO_RESPONSE,{'ns_ip_list': '37.59.106.21'}
330,DJ,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'bow1.intnet.dj/197.241.17.130;bow5.intnet.dj/196.201.196.41', 'query_name': 'version.bind', 'string': 'Not Disclosed'}"
331,DJ,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'vps443605.ovh.net/37.59.106.21', 'query_name': 'version.bind'}"
332,DJ,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'vps443605.ovh.net/37.59.106.21', 'query_name': 'version.server'}"
333,DJ,NOTICE,Syntax,RNAME_MAIL_DOMAIN_INVALID,{'domain': 'djibtel-dj.mail.protection.outlook.com.'}
334,DJ,NOTICE,Zone,REFRESH_MINIMUM_VALUE_LOWER,"{'refresh': 10800, 'required_refresh': 14400}"
335,DJ,WARNING,Zone,Z09_NO_RESPONSE_MX_QUERY,{'ns_ip_list': '37.59.106.21'}
336,DJ,NOTICE,Zone,Z11_NO_SPF_FOUND,{}
337,DZ,WARNING,Address,NAMESERVER_IP_WITHOUT_REVERSE,"{'ns_ip': '2001:4340:1030:2::2', 'nsname': 'ns1.nic.dz'}"
338,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns-dz.afrinic.net/2001:43f8:120::36'}
339,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns1.nic.dz/2001:4340:1030:2::2'}
340,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns3.nic.fr/192.134.0.49'}
341,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns3.nic.fr/2001:660:3006:1::1:1'}
342,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns4.nic.dz/2001:500:14:6103:ad::1'}
343,DZ,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'ns5.nic.dz/2001:67c:e0::71'}
344,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns-dz.afrinic.net/2001:43f8:120::36'}
345,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns1.nic.dz/2001:4340:1030:2::2'}
346,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns3.nic.fr/192.134.0.49'}
347,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns3.nic.fr/2001:660:3006:1::1:1'}
348,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns4.nic.dz/2001:500:14:6103:ad::1'}
349,DZ,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'ns5.nic.dz/2001:67c:e0::71'}
