DNSSEC database status for TLDs as of 2020-07-13
TLD,Status,Is Principal,Is Test,Is IDN,Is Country,Is Regional,Map Region
DISCOUNT, DS in Root, 0, 0, 0, 0, 0, None
EXCHANGE, DS in Root, 0, 0, 0, 0, 0, None
FAIL, DS in Root, 0, 0, 0, 0, 0, None
FINANCIAL, DS in Root, 0, 0, 0, 0, 0, None
FUND, DS in Root, 0, 0, 0, 0, 0, None
FURNITURE, DS in Root, 0, 0, 0, 0, 0, None
GRATIS, DS in Root, 0, 0, 0, 0, 0, None
INVESTMENTS, DS in Root, 0, 0, 0, 0, 0, None
LIMITED, DS in Root, 0, 0, 0, 0, 0, None
SURGERY, DS in Root, 0, 0, 0, 0, 0, None
TAX, DS in Root, 0, 0, 0, 0, 0, None
WTF, DS in Root, 0, 0, 0, 0, 0, None
MOSCOW, DS in Root, 0, 0, 0, 0, 0, None
XN--80ADXHKS, DS in Root, 0, 0, 1, 0, 0, None
CITIC, DS in Root, 0, 0, 0, 0, 0, None
CREDITCARD, DS in Root, 0, 0, 0, 0, 0, None
FINANCE, DS in Root, 0, 0, 0, 0, 0, None
INSURE, DS in Root, 0, 0, 0, 0, 0, None
WTC, DS in Root, 0, 0, 0, 0, 0, None
AIRFORCE, DS in Root, 0, 0, 0, 0, 0, None
BAYERN, DS in Root, 0, 0, 0, 0, 0, None
GLOBO, DS in Root, 0, 0, 0, 0, 0, None
GMO, DS in Root, 0, 0, 0, 0, 0, None
ACCOUNTANTS, DS in Root, 0, 0, 0, 0, 0, None
CLAIMS, DS in Root, 0, 0, 0, 0, 0, None
CREDIT, DS in Root, 0, 0, 0, 0, 0, None
DIGITAL, DS in Root, 0, 0, 0, 0, 0, None
AUDIO, DS in Root, 0, 0, 0, 0, 0, None
BEER, DS in Root, 0, 0, 0, 0, 0, None
CHURCH, DS in Root, 0, 0, 0, 0, 0, None
GUIDE, DS in Root, 0, 0, 0, 0, 0, None
LIFE, DS in Root, 0, 0, 0, 0, 0, None
LOANS, DS in Root, 0, 0, 0, 0, 0, None
HIPHOP, DS in Root, 0, 0, 0, 0, 0, None
JUEGOS, DS in Root, 0, 0, 0, 0, 0, None
LUXE, DS in Root, 0, 0, 0, 0, 0, None
AUTOS, DS in Root, 0, 0, 0, 0, 0, None
HOMES, DS in Root, 0, 0, 0, 0, 0, None
MOTORCYCLES, DS in Root, 0, 0, 0, 0, 0, None
YACHTS, DS in Root, 0, 0, 0, 0, 0, None
REISE, DS in Root, 0, 0, 0, 0, 0, None
